               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099152,            0.031166,                   0,            0.013962,             0.74286,            0.033279,           0.0083081,            0.041889,            0.016562,                   0,              0.0829,              0.0019,              0.0019
                   1,            0.067602,            0.028085,                   0,             0.30836,             0.34286,             0.26858,            0.079435,            0.036095,             0.01255,                   0,            0.064861,           0.0038614,           0.0038614
                   2,            0.053412,            0.026454,                   0,             0.23846,             0.34286,             0.27786,             0.10091,            0.030567,            0.010809,                   0,            0.046783,           0.0057832,           0.0057832
                   3,            0.052595,             0.02516,                   0,             0.14202,             0.17986,             0.21119,            0.056552,            0.023938,            0.010847,                   0,            0.028665,           0.0076654,           0.0076654
                   4,            0.052969,            0.024364,                   0,             0.29284,             0.17143,             0.21275,            0.073419,            0.026463,            0.010517,                   0,            0.010508,            0.009508,            0.009508
                   5,            0.048327,            0.024365,                   0,             0.36235,             0.34101,             0.31453,            0.081305,            0.036525,           0.0085949,                   0,            0.009505,            0.009505,            0.009505
                   6,            0.046872,            0.025409,                   0,             0.14231,             0.22857,             0.16168,            0.059597,            0.029914,            0.010851,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.041149,            0.023976,                   0,              0.3232,                 0.4,             0.23389,            0.063498,            0.026899,            0.010151,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.039061,             0.02521,                   0,             0.35416,             0.51429,             0.42881,             0.12925,            0.020775,           0.0098776,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.042949,            0.024083,                   0,             0.38128,             0.62857,             0.37203,             0.12799,            0.021137,           0.0094433,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.040596,            0.023942,                   0,             0.38212,             0.49488,              0.4099,             0.14951,             0.02017,           0.0095517,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.041471,            0.024243,                   0,             0.46952,             0.74286,             0.52925,             0.19075,            0.018487,           0.0085733,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.032696,            0.024045,                   0,             0.57516,             0.62857,              0.6568,             0.28876,            0.017675,           0.0085876,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.039411,            0.023643,                   0,             0.52395,             0.65714,             0.69909,              0.2627,             0.02135,           0.0088721,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.037076,            0.023443,                   0,             0.36375,                 0.6,             0.39056,             0.15065,            0.024507,           0.0083134,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.034628,            0.023638,                   0,             0.35501,             0.65714,             0.41817,             0.16233,            0.022696,            0.008471,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.042063,            0.022341,                   0,             0.41344,             0.66468,             0.47099,             0.16216,            0.021825,           0.0083413,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.033339,            0.023046,                   0,             0.49892,             0.62857,             0.59443,             0.24624,            0.019329,           0.0077296,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.033687,             0.02246,                   0,             0.44268,             0.71429,             0.58387,              0.3125,            0.016149,           0.0079239,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.031952,            0.021646,                   0,             0.57289,             0.71429,             0.66628,             0.29894,            0.017641,           0.0085323,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.030157,            0.023206,                   0,             0.52791,             0.57143,             0.69202,             0.35147,            0.015007,           0.0082238,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.039251,            0.022879,                   0,             0.51769,             0.70547,              0.6811,             0.31941,            0.016357,           0.0089292,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.031705,            0.022156,                   0,             0.57209,             0.68571,             0.72821,              0.3214,            0.016112,           0.0079643,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.034444,            0.021638,                   0,             0.54135,             0.74286,             0.67865,             0.32429,            0.017586,           0.0075952,                   0,            0.007822,            0.007822,            0.007822
                  24,             0.03405,            0.020465,                   0,             0.51834,              0.7073,             0.58464,             0.31066,            0.016877,           0.0070914,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.028567,            0.022575,                   0,             0.72365,                 0.6,             0.73256,             0.39833,             0.01541,           0.0065941,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.034994,            0.022405,                   0,             0.58126,             0.71388,             0.72556,             0.39882,            0.015851,            0.006822,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.030875,            0.021234,                   0,             0.47766,             0.70556,             0.56255,             0.29656,            0.015504,           0.0070959,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.035905,            0.020661,                   0,             0.53725,             0.65714,             0.61754,             0.38092,            0.015009,           0.0068198,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.033065,            0.021105,                   0,             0.48987,             0.76827,             0.53349,             0.31988,            0.016021,           0.0068443,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.033535,            0.021556,                   0,             0.55946,             0.82857,             0.66576,             0.32221,            0.016255,           0.0065054,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.026349,            0.021593,                   0,             0.52492,             0.75779,             0.63175,             0.38681,            0.015786,           0.0064955,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.029682,            0.020995,                   0,             0.53104,                 0.8,             0.61629,             0.33998,            0.016896,           0.0070994,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.034474,             0.02118,                   0,             0.67517,             0.71267,             0.67676,             0.37736,            0.013333,           0.0068066,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.031378,            0.021762,                   0,             0.71765,             0.65714,             0.71938,             0.44788,            0.013839,           0.0065815,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.030328,            0.021533,                   0,             0.55535,             0.82857,             0.71517,              0.4235,            0.013513,           0.0068079,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.029489,             0.02052,                   0,              0.7044,                 0.8,             0.81808,             0.42927,            0.013624,           0.0062969,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.028282,            0.020804,                   0,              0.7684,             0.71429,             0.80427,             0.46358,            0.013041,            0.006566,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.032584,            0.020845,                   0,             0.75592,             0.82857,             0.81641,             0.50832,            0.013686,            0.006908,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.031929,            0.019892,                   0,             0.55747,             0.68571,             0.70436,               0.412,            0.015136,           0.0070437,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.026598,            0.021257,                   0,             0.70043,             0.66825,             0.74479,             0.44993,            0.015143,           0.0071035,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.028273,            0.019763,                   0,             0.64925,             0.68756,             0.73838,             0.43349,            0.016693,           0.0065216,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.029195,            0.019844,                   0,             0.52111,             0.83956,             0.68757,             0.44392,             0.01488,           0.0065434,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.028161,             0.02035,                   0,             0.66034,             0.82857,             0.73585,             0.50853,            0.015845,           0.0061512,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.028836,            0.020318,                   0,             0.65077,             0.85714,              0.7129,             0.42672,            0.016438,           0.0061574,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.029183,            0.019362,                   0,             0.64514,             0.72738,             0.65158,             0.38944,             0.01484,           0.0069765,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.028065,            0.019894,                   0,             0.53036,             0.83904,             0.69797,             0.42759,            0.013111,           0.0062397,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.028507,            0.019644,                   0,             0.57979,             0.70968,             0.67537,             0.41864,            0.013681,           0.0062069,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.025412,            0.018765,                   0,             0.63941,             0.65714,             0.70839,             0.41172,            0.015193,           0.0061802,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.028776,            0.020211,                   0,             0.51035,             0.83388,             0.63753,             0.38499,            0.016239,           0.0065608,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.028515,            0.019272,                   0,             0.55356,             0.77952,             0.65108,             0.39239,            0.015552,           0.0062127,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.029597,            0.018466,                   0,             0.57614,             0.85445,             0.66151,             0.43221,            0.015862,           0.0059859,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.028052,             0.01954,                   0,             0.59409,             0.87826,             0.63764,             0.36361,            0.015136,           0.0064719,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.029453,            0.019382,                   0,             0.69152,             0.76864,             0.72432,             0.47827,            0.012538,           0.0055089,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.029796,            0.017955,                   0,             0.72452,             0.77143,             0.78418,             0.51312,            0.014297,           0.0051806,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.025632,            0.018958,                   0,             0.71515,             0.88571,              0.8525,             0.49014,             0.01405,           0.0059744,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.028806,            0.018532,                   0,             0.66692,             0.62932,              0.6869,             0.39391,             0.01567,            0.006919,                   0,            0.004555,            0.004555,            0.004555
                  57,             0.02937,            0.018145,                   0,             0.62274,             0.61331,             0.64548,             0.42251,            0.014553,           0.0061002,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.026166,            0.018736,                   0,             0.72488,             0.60232,             0.71115,             0.46562,            0.014157,           0.0061941,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.023873,            0.018089,                   0,             0.74984,             0.62857,             0.79068,               0.486,             0.01369,           0.0064359,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.027621,            0.018132,                   0,             0.76883,                 0.6,              0.7245,             0.41892,            0.012561,           0.0077873,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.027496,            0.018618,                   0,             0.59253,             0.82857,             0.75758,              0.4605,            0.012553,           0.0068046,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.028964,            0.018449,                   0,             0.64931,             0.91429,             0.82818,             0.50297,            0.013028,           0.0068906,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.027167,            0.018517,                   0,             0.86924,             0.75997,              0.8613,             0.52431,            0.012393,           0.0061147,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.022333,            0.017355,                   0,             0.73123,             0.85714,             0.84653,             0.55093,            0.013003,           0.0061775,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.023561,            0.018037,                   0,             0.69037,             0.71429,             0.75931,             0.53027,            0.014861,            0.006155,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.026801,            0.017183,                   0,             0.71987,             0.74286,             0.79001,             0.54514,            0.014495,            0.006137,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.026066,            0.018265,                   0,             0.67548,             0.71366,               0.731,             0.52291,            0.013301,           0.0065896,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.024622,            0.017272,                   0,             0.90606,             0.62857,             0.83513,             0.51337,            0.013562,           0.0061381,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.024616,            0.016989,                   0,             0.65348,             0.80835,             0.81959,             0.52995,            0.013329,           0.0060723,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.026769,            0.017846,                   0,             0.72935,             0.82857,             0.82456,             0.55173,            0.011842,           0.0060238,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.025214,            0.017547,                   0,             0.71668,                 0.8,              0.8272,             0.54327,            0.013066,           0.0066392,                   0,             0.00307,             0.00307,             0.00307
                  72,             0.01956,             0.01636,                   0,             0.67489,             0.85714,             0.81814,             0.52635,            0.013062,           0.0060344,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.024611,            0.015958,                   0,              0.7362,             0.87722,             0.85022,              0.5079,            0.012688,           0.0060476,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.020944,             0.01649,                   0,             0.69224,             0.77143,             0.75118,             0.46527,            0.013343,           0.0073621,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.023438,            0.016968,                   0,             0.69195,                 0.8,             0.79181,             0.53837,            0.012594,           0.0061852,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.025495,            0.016663,                   0,             0.71971,             0.85714,             0.81596,             0.56935,            0.012844,           0.0060363,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.023139,            0.016059,                   0,               0.861,             0.70808,             0.81967,             0.56219,            0.012748,           0.0052547,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.023437,            0.016621,                   0,             0.70601,             0.77143,              0.7863,               0.553,            0.012958,           0.0055389,                   0,            0.002377,            0.002377,            0.002377
                  79,             0.02561,            0.016357,                   0,             0.69887,              0.7958,             0.80421,             0.57616,            0.011897,           0.0052701,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.023855,            0.016963,                   0,              0.6751,             0.82857,             0.78223,             0.56019,            0.011417,           0.0058073,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.021107,            0.015907,                   0,             0.70287,             0.81121,             0.76829,             0.55083,            0.011482,           0.0054855,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.020998,             0.01573,                   0,             0.68849,             0.82857,             0.77122,             0.55225,            0.012334,           0.0056954,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.020894,            0.015994,                   0,             0.70243,             0.82857,             0.78804,             0.55871,            0.012054,           0.0055299,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.018663,            0.015843,                   0,             0.73372,             0.78746,             0.82839,             0.56506,            0.011916,           0.0053768,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.021056,            0.015978,                   0,             0.70789,                 0.8,             0.82762,              0.5609,            0.013571,            0.005263,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.023713,            0.015981,                   0,             0.88079,             0.63347,             0.83664,             0.56791,            0.013678,           0.0053614,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.020483,            0.015837,                   0,             0.84703,             0.62857,             0.82092,             0.56061,             0.01332,           0.0056271,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.021024,            0.015564,                   0,             0.70647,                 0.8,             0.84895,             0.54378,            0.012975,            0.005844,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.024803,            0.017051,                   0,             0.79897,                 0.8,             0.89614,             0.57346,            0.012806,           0.0057079,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.021863,            0.016349,                   0,             0.75905,             0.71429,             0.83112,             0.57188,            0.011873,           0.0057988,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.021418,            0.015519,                   0,             0.75407,             0.78863,             0.83262,             0.55794,            0.013062,            0.005588,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.023974,            0.015636,                   0,             0.72444,             0.77143,             0.79101,             0.55643,            0.012909,           0.0053998,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.024935,             0.01591,                   0,             0.72871,             0.69083,             0.77564,             0.55756,            0.012638,            0.005317,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.020428,            0.015745,                   0,             0.72514,             0.77143,             0.82701,             0.55746,            0.013295,           0.0053999,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.022097,            0.015659,                   0,             0.74652,             0.82857,              0.8429,             0.57727,            0.013308,           0.0052013,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.021233,             0.01542,                   0,             0.74523,             0.82857,             0.84951,             0.59317,            0.013621,           0.0052474,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.018575,            0.015151,                   0,             0.81135,             0.74286,              0.8348,             0.58152,            0.013468,           0.0055798,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.021994,            0.016227,                   0,             0.80437,             0.70508,             0.79821,             0.57702,            0.013407,           0.0056883,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.016642,            0.015199,                   0,               0.779,             0.70519,             0.79657,             0.57267,            0.013345,            0.005542,                   0,            0.000298,            0.000298,            0.000298
